question,options,answer,answer_idx,dataset_source
"A 59-year-old woman is scheduled to undergo a right hip total arthroplasty for severe hip osteoarthritis that has failed conservative management. She has never had surgery before. She has a history of major depressive disorder and takes sertraline daily and ibuprofen occasionally for pain. Her mother died of breast cancer and her father died from a myocardial infarction. She has a brother who had an adverse reaction following anesthesia, but she does not know details of the event. In the operating room, the anesthesiologist administers isoflurane and succinylcholine. Two minutes later, the patient develops hypercarbia and hypertonicity of his bilateral upper and lower extremities. Her temperature is 103.7°F (39.8°C), blood pressure is 155/95 mmHg, pulse is 115/min, and respirations are 20/min.
A medication with which of the following mechanisms of action is most strongly indicated for this patient?","{""A"": ""Antihistamine"", ""B"": ""Cholinesterase inhibitor"", ""C"": ""Dopamine receptor agonist"", ""D"": ""Ryanodine receptor antagonist""}",Ryanodine receptor antagonist,D,Med-QA
"A 24-year-old woman comes to the emergency department because she has had dyspnea and palpitations occurring with mild exertion for the past 8 days. At first, the symptoms subsided immediately after cessation of activity, but they have become worse and now last up to 45 minutes. The patient returned from a summer camping trip in Vermont 6 weeks ago. Except for an episode of flu with fever and chills a month ago, she has no history of serious illness. Her father had a myocardial infarction at the age of 56. She drinks two to four beers on social occasions and occasionally smokes marijuana. Her temperature is 37°C (98.6°F), pulse is 47/min, respirations are 20/min, and blood pressure is 150/70 mm Hg. A resting ECG is shown. Two-step serological testing confirms the diagnosis. Which of the following is the most appropriate next step in management?","{""A"": ""Intravenous ceftriaxone therapy"", ""B"": ""Oral amoxicillin therapy"", ""C"": ""Oral doxycycline therapy"", ""D"": ""Permanent pacemaker implantation""}",Intravenous ceftriaxone therapy,A,Med-QA
"A 68-year-old community-dwelling woman is transported to the emergency department with decreased consciousness, headache, and nausea. The symptoms began after the patient had a syncopal episode and fell at her home. She has a history of arterial hypertension and atrial fibrillation. Her current medications include hydrochlorothiazide, lisinopril, metoprolol, and warfarin. On admission, her blood pressure is 140/90 mm Hg, heart rate is 83/min and irregular, respiratory rate is 12/min, and temperature is 36.8°C (98.4°F). She is conscious and verbally responsive, albeit confused. She is able to follow motor commands. Her pupils are round, equal, and poorly reactive to light. She is unable to abduct both eyes on an eye movement examination. She has decreased strength and increased tone (Ashworth 1/4) and reflexes (3+) in her right upper and lower extremities. Her lungs are clear to auscultation. The cardiac examination shows the presence of S3 and a pulse deficit. A head CT scan is shown in the picture. Which of the following led to the patient’s condition?","{""A"": ""Rupture of the middle meningeal artery"", ""B"": ""Rupture of a saccular aneurysm in the carotid circulation region"", ""C"": ""Laceration of the leptomeningeal blood vessels"", ""D"": ""Rupture of the cerebral bridging veins""}",Rupture of the cerebral bridging veins,D,Med-QA
"A 34-year-old G3P2 presents at 33 weeks gestation with several episodes of bloody spotting and mild vaginal bleeding over the past 2 weeks. The bleeding has no specific triggers and resolves spontaneously. She does not report abdominal pain or uterine contractions. She has had two cesarean deliveries. At 20 weeks gestation, the ultrasound examination showed the placental edge to be 5 cm away from the internal cervical os. On examination at this visit, the vital signs are as follows: blood pressure, 110/70 mm Hg; heart rate, 89/min; respiratory rate, 15\min; and temperature, 36.6℃ (97.9℉). The uterus is tender with no palpable contractions and streaks of blood are noted on the perineum, but there is no active bleeding. An ultrasound evaluation shows the placental edge 1 cm from the internal cervical os. Which of the following options best describes the placental position at each ultrasound?","{""A"": ""Normally lying placenta → marginal previa"", ""B"": ""Normally placed placenta → low-lying placenta"", ""C"": ""Marginal previa → partial previa"", ""D"": ""Low-lying placenta → marginal previa""}",Normally lying placenta → marginal previa,A,Med-QA
"A 27-year-old African-American woman, gravida 1, para 0, at 11 weeks' gestation comes to her physician for a prenatal visit. She feels more fatigued than usual but has no other symptoms. She has no history of serious illness. She takes no medications. Her mother has systemic lupus erythematosus. Her temperature is 37.2°C (98.9°F), pulse is 80/min, respirations are 18/min, and blood pressure is 120/75 mm Hg. Examination shows no abnormalities. Laboratory studies show:
Hemoglobin 9.2 g/dL
Hematocrit 27.5%
Leukocyte count 6,000/mm3
Platelet Count 180,000/mm3
MCV 74 μm3
MCH 24 pg/cell
Serum
Na+ 138 mEq/L
K+ 4.5 mEq/L
Cl- 100 mEq/L
HCO3- 25 mEq/L
Urea Nitrogen 15 mg/dL
Creatinine 1.0 mg/dL
Total Bilirubin 0.4 mg/dL
Iron 67 U/L
Ferritin 98 ng/mL
Which of the following is the most appropriate next step in management?""","{""A"": ""Measure anticardiolipin antibody titers"", ""B"": ""Amniocentesis"", ""C"": ""Perform direct Coombs test"", ""D"": ""Hemoglobin electrophoresis""}",Hemoglobin electrophoresis,D,Med-QA
"A 55-year-old man comes to the physician because of a 3-day history of decreased urine output, progressively worsening bilateral pedal edema, and fatigue. He has a 4-month history of persistent lower back pain. He has hypercholesterolemia and stable angina pectoris. Current medications include atorvastatin, aspirin, and ibuprofen. His pulse is 80/min, respirations are 16/min, and blood pressure is 150/100 mm Hg. Examination shows periorbital and pedal edema and pallor. There is tenderness of the lumbar spinal vertebrae. Straight leg raise test is negative. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 8.9 mg/dl
Serum
Urea nitrogen 20 mg/dl
Creatinine 2.4 mg/dl
Calcium 11.2 mg/dl
Alkaline phosphatase 140 U/L
X-ray of the spine shows diffuse osteopenia and multiple lytic lesions. Which of the following is most likely to confirm the diagnosis?""","{""A"": ""Peripheral blood smear"", ""B"": ""Parathyroid hormone levels"", ""C"": ""Bone marrow biopsy"", ""D"": ""Skeletal survey""}",Bone marrow biopsy,C,Med-QA
"A 59-year-old African-American man presents with dyspnea on exertion and bilateral lower leg edema. The patient had a myocardial infarction 2 years ago, in which he developed chronic heart failure. Also, he has type 2 diabetes mellitus. His medications include bisoprolol 20 mg, lisinopril 40 mg, and metformin 2000 mg daily. The vital signs at presentation include: blood pressure is 135/70 mm Hg, heart rate is 81/min, respiratory rate is 13/min, and temperature is 36.6℃ (97.9℉). The physical examination is significant for bilateral lower leg pitting edema. The cardiac auscultation demonstrated an S3 and a systolic murmur best heard at the apex. Which of the following adjustments should be made to the patient’s treatment plan?","{""A"": ""Increase the dose of bisoprolol"", ""B"": ""Add amlodipine"", ""C"": ""Add valsartan"", ""D"": ""Add hydralazine/isosorbide dinitrate""}",Add hydralazine/isosorbide dinitrate,D,Med-QA
"A 62-year-old man is found unconscious in the park on a bench, early in the morning in January. The temperature outside is -4.0°C (25°F). He is barefoot and is wearing nothing more than sweatpants, a tee-shirt, and a light coat. Upon arrival at the emergency department, his vitals include: heart rate 45/min, blood pressure 100/70 mm Hg, and respiratory rate 10/min. His core body temperature is 30.0°C (85.5°F). His feet and palms are covered with clear blisters, the skin is yellow with a waxy appearance, and the tissues are edematous. The patient is unresponsive to auditory stimuli. Which of the following cold-associated injuries does the patient have?","{""A"": ""Pernio"", ""B"": ""Immersion foot"", ""C"": ""Frostbite"", ""D"": ""Trench foot""}",Frostbite,C,Med-QA
"A 23-year-old woman presents with a 4-week menstrual delay. She also complains of irritability, increased somnolence, and occasional nausea. She had her first menarche at the age of 13, and her menstrual cycle became regular at the age of 15. She has been sexually active since the age of 20 but has had the same sexual partner since then. They stopped using birth control protection approximately 6 months ago. She does not smoke and consumes alcohol occasionally. Her blood pressure is 120/80 mm Hg, heart rate is 71/min, respiratory rate is 14/min, and temperature is 36.6℃ (98.2℉). Physical examination is significant only for slight breast engorgement and nipple pigmentation. Gynecologic examination reveals cervical softening and cyanosis. Which of the following drugs would be recommended for this patient?","{""A"": ""Progesterone"", ""B"": ""Folic acid"", ""C"": ""Vitamin A"", ""D"": ""Combination of natural estrogen and progestin""}",Folic acid,B,Med-QA
"A 64-year-old man presents to his primary care physician for follow-up of a severe, unrelenting, productive cough of 2 years duration. The medical history includes type 2 diabetes mellitus, which is well-controlled with insulin. He has a 25-pack-year smoking history and is an active smoker. The blood pressure is 135/88 mm Hg, the pulse is 94/min, the temperature is 36.9°C (98.5°F), and the respiratory rate is 18/min. Bilateral wheezes and crackles are heard on auscultation. A chest X-ray reveals cardiomegaly, increased lung markings, and a flattened diaphragm. Which of the following is most likely in this patient?","{""A"": ""Increased right ventricle compliance"", ""B"": ""Increased pulmonary arterial resistance"", ""C"": ""Increased cerebral vascular resistance"", ""D"": ""Decreased carbon dioxide content of the arterial blood""}",Increased pulmonary arterial resistance,B,Med-QA
"A 19-year-old woman with a history of bipolar disorder and an unknown cardiac arrhythmia presents with palpitations and chest pain. She admits to taking lithium and procainamide regularly, but she ran out of medication 2 weeks ago and has not been able to get refills. Her family history is significant for bipolar disorder in her mother and maternal aunt. Her vital signs include blood pressure 130/90 mm Hg, pulse 110/min, respiratory rate 18/min. Physical examination is significant for a widely split first heart sound with a holosystolic murmur loudest over the left sternal border. Visible cyanosis is noted in the lips and nailbeds. An electrocardiogram is performed which shows intermittent supraventricular tachyarrhythmia with a right bundle branch block. Her cardiac enzymes are normal. An echocardiogram is performed, which shows evidence of a dilated right atria with portions of the tricuspid valve displaced towards the apex. Which of the following medications was this patient most likely exposed to prenatally?","{""A"": ""Mood stabilizer"", ""B"": ""Antidepressant"", ""C"": ""Insulin"", ""D"": ""Antihypertensive""}",Mood stabilizer,A,Med-QA
